year,forest_ha,natural_nonforest_ha,mosaic_ha,water_ha,other_ha,agriculture_ha
2001,9315828.019182706,478381.1116022731,1279096.2329363946,96339.11936354553,6833.63867242111,0.0
2002,9288274.222293498,473676.7727778097,1309396.122400497,96794.85381424328,7825.892041023664,0.0
2003,9234235.566690478,474609.8237519567,1361897.2800067267,97935.18758410505,8530.236025691249,0.0
2004,9192510.016152063,482719.09123360814,1399599.2402329443,96092.97924931215,5730.293472351027,0.0
2005,9162205.512571154,485024.38170596666,1427138.0594531,95538.59182874768,6622.071525236672,0.0
2006,9143062.181295922,485546.1951134584,1446014.754894193,94399.58709221051,7341.749020037535,0.0
2007,9096940.357317088,486059.6016335855,1492550.8592617218,90446.0284428339,10639.280777871852,0.0
2008,9039707.916520214,484500.38009626936,1549384.0917462807,94032.10646815451,8576.10832330959,0.0
2009,9019967.537289852,477056.71673831984,1580443.9258386751,94228.0720334345,5960.813734363891,0.0
2010,8986648.131847207,471506.5426737379,1619115.233145492,91142.15862860797,8949.416946580883,0.0
2011,8953243.41574468,466448.2702647459,1654695.8542658272,91746.10959361521,8944.522493556991,0.0
2012,8914479.670403292,461505.36668396246,1698192.9791383925,94772.79386019977,7423.786356899126,0.0
2013,8883651.629266564,462670.87124127004,1726629.488614609,96699.6609562523,6370.070623480776,0.0
2014,8839231.072928905,465036.81838850956,1769784.2874646792,94960.98624001414,7083.189021507355,0.0
2015,8819305.639540745,465004.34776744066,1789526.0781919565,94938.08652683096,6989.2852007931215,0.0
2016,8775372.379810689,462902.81535638386,1832808.5576182057,94562.3650671035,8888.573820204881,0.0
2017,8701216.472458929,461727.4818591781,1909039.523907863,94335.6767013944,8973.475615244717,0.0
2018,8604730.381576046,458168.3053163306,2010089.3181259925,97059.63610494633,6520.536488303081,0.0
2019,8545354.038527798,459785.08496311336,2068885.994892586,94173.71010925091,8729.44974336818,0.0
2020,8483780.145383937,455206.3455165881,2131726.0469206376,97605.73842018067,8128.105075678615,0.0
2021,8452470.244582606,450127.67873761157,2166121.926817895,98069.03750896592,8454.538425659854,281.79105781250036
2022,8396232.234233445,444434.1600011009,2228065.143788423,96661.4469213702,9539.639215088086,334.3788469726563
2023,8395457.44776117,437911.6371336602,2236759.23085067,98763.7226764503,7876.884982730548,339.34001289062485
2024,8371514.068310543,433071.14140759746,2266573.7641244372,97351.04653094364,8562.094921554843,296.6745033203128
